,feature,Ranking
913,ASPSCR1,75
914,ASRGL1,142
915,ASS1,124
916,ASTE1,78
917,ASTL,142
918,ASTN1,73
919,ASTN2,84
920,ASXL1,149
921,ASXL2,14
922,ASXL3,144
923,ASZ1,101
924,ATAD1,79
925,ATAD2,123
926,ATAD2B,118
927,ATAD5,25
928,ATCAY,76
929,ATE1,122
930,ATF1,38
931,ATF2,95
932,ATF3,97
933,ATF4,51
934,ATF6,97
935,ATF7,12
936,ATF7IP,131
937,ATF7IP2,41
938,ATG10,1
939,ATG12,30
940,ATG16L1,83
941,ATG16L2,35
942,ATG2B,52
943,ATG3,68
944,ATG4A,6
945,ATG4C,1
946,ATG4D,143
947,ATG5,12
948,ATG7,73
949,ATG9A,122
950,ATG9B,98
951,ATIC,144
952,ATL1,56
953,ATL2,76
954,ATL3,37
955,ATM,57
956,ATMIN,22
957,ATN1,96
958,ATOH1,86
959,ATOH7,93
960,ATOH8,77
961,ATOX1,80
962,ATP10A,17
963,ATP10B,2
964,ATP10D,84
965,ATP11A,21
966,ATP11B,64
967,ATP12A,79
968,ATP13A1,130
969,ATP13A2,74
970,ATP13A3,77
971,ATP13A4,110
972,ATP13A5,95
973,ATP1A1,116
974,ATP1A2,92
975,ATP1A3,62
976,ATP1A4,131
977,ATP1B1,37
978,ATP1B2,71
979,ATP1B3,18
980,ATP1B4,3
981,ATP2A2,131
982,ATP2A3,62
983,ATP2B1,54
984,ATP2B2,77
985,ATP2B3,22
986,ATP2B4,86
987,ATP2C1,34
988,ATP4A,22
989,ATP4B,90
990,ATP5A1,56
991,ATP5B,19
992,ATP5C1,33
993,ATP5E,14
994,ATP5F1,148
995,ATP5G1,51
996,ATP5G2,17
997,ATP5G3,86
998,ATP5H,96
999,ATP5J,59
1000,ATP5J2,62
1001,ATP5L,40
1002,ATP5O,1
1003,ATP5S,39
1004,ATP5SL,107
1005,ATP6AP1,30
1006,ATP6AP1L,1
1007,ATP6AP2,21
1008,ATP6V0A1,17
